University, Subnet(s),,,,,,,,,,
Aberystwyth University, 144.124.0.0/16, 192.88.9.0/24, 192.88.10.0/24,,,,,,,,
Aston University, 134.151.0.0/16,,,,,,,,,,
Brunel University London, 134.83.0.0/16,,,,,,,,,,
Cardiff University, 131.251.0.0/16,,,,,,,,,,
City - University of London, 138.40.0.0/16 ,,,,,,,,,,
De Montfort University, 146.227.0.0/16,,,,,,,,,,
Edinburgh Napier University, 146.176.0.0/16,,,,,,,,,,
Glyndwr University, 192.94.235.0/24,,,,,,,,,,
Goldsmiths University of London, 158.223.0.0/16,,,,,,,,,,
Heriot-Watt University, 137.195.0.0/16,,,,,,,,,,
Imperial College London, 129.31.0.0/16, 146.169.0.0/16, 146.179.0.0/16, 155.198.0.0/16, 185.255.108.0/22, 192.68.153.0/24, 192.149.111.0/24, 192.156.162.0/24, 192.195.105.0/24, 192.195.116.0/23, 192.195.118.0/24
King's College London, 137.73.0.0/16,,,,,,,,,,
Kingston University, 141.241.0.0/16,,,,,,,,,,
Leeds Beckett University, 160.9.0.0/16,,,,,,,,,,
Leeds Trinity University, 192.190.201.0/24, 192.190.202.0/24,,,,,,,,,
London Metropolitan University, 140.97.0.0/16,,,,,,,,,,
London Metropolitan University, 163.167.0.0/16,,,,,,,,,,
London School of Economics and Political Science, 158.143.0.0/16, 192.124.46.0/24,,,,,,,,,
London South Bank University, 136.148.0.0/16, 136.148.1.0/24, 136.148.2.0/23, 136.148.8.0/23, 136.148.10.0/24,,,,,,
Loughborough University, 131.231.0.0/16, 158.125.0.0/16,,,,,,,,,
Manchester Metropolitan University, 149.170.0.0/16,,,,,,,,,,
Middlesex University, 158.94.0.0/16, 158.94.0.0/17, 158.94.128.0/17,,,,,,,,
Norwich University of the Arts, 194.35.241.0/24,,,,,,,,,,
Nottingham Trent University, 152.71.0.0/16,,,,,,,,,,
Open University, 137.108.0.0/16,,,,,,,,,,
Oxford Brookes University, 161.73.0.0/16,,,,,,,,,,
Queens University Belfast, 143.117.0.0/16,,,,,,,,,,
Ravensbourne University London, 194.35.93.0/24,,,,,,,,,,
Royal Holloway and Bedford New College, 134.219.0.0/16,,,,,,,,,,
Swansea University, 137.44.0.0/16,,,,,,,,,,
The University of Birmingham, 147.188.0.0/16,,,,,,,,,,
University College London, 128.16.0.0/16, 128.40.0.0/16, 128.41.0.0/18,,,,,,,,
University of Aberdeen, 137.50.0.0/16, 139.133.0.0/16,,,,,,,,,
University of Bath, 138.38.0.0/16,,,,,,,,,,
University of Brighton, 192.173.128.0/21,,,,,,,,,,
University of Bristol, 137.222.0.0/16,,,,,,,,,,
University of Cambridge, 128.232.0.0/16, 129.169.0.0/16, 131.111.0.0/16, 192.84.5.0/24, 192.153.213.0/24,,,,,,
University of Dundee, 134.36.0.0/16,,,,,,,,,,
University of Durham, 129.234.0.0/16,,,,,,,,,,
University of East Anglia, 139.222.0.0/16,,,,,,,,,,
University of East London, 161.76.0.0/16,,,,,,,,,,
University of Edinburgh, 129.215.0.0/16, 192.41.103.0/24, 192.41.112.0/20, 192.41.128.0/22,,,,,,,
University of Exeter, 144.173.0.0/16,,,,,,,,,,
University of Glasgow, 130.209.0.0/16, 194.36.1.0/24 ,,,,,,,,,
University of Greenwich, 193.37.240.0/21, 194.36.121.0/24,,,,,,,,,
University of Hertfordshire, 147.197.0.0/16,,,,,,,,,,
University of Huddersfield, 161.112.0.0/16,,,,,,,,,,
University of Keele, 160.5.0.0/16,,,,,,,,,,
University of Kent, 129.12.0.0/16,,,,,,,,,,
University of Lancaster, 148.88.0.0/16, 148.88.0.0/17, 148.88.128.0/17,,,,,,,,
University of Leeds, 129.11.0.0/16,,,,,,,,,,
University of Leicester, 143.210.0.0/16,,,,,,,,,,
University of Liverpool, 138.253.0.0/16,,,,,,,,,,
University of London, 137.253.0.0/16, 192.12.72.0/24,,,,,,,,,
University of Manchester, 130.88.0.0/16, 192.84.75.0/24, 192.150.184.0/24, 194.36.2.0/23,,,,,,,
University of Newcastle upon Tyne, 128.240.0.0/16,,,,,,,,,,
University of Northumbria at Newcastle, 192.173.1.0/24, 192.173.2.0/23, 192.173.4.0/24,,,,,,,,
University of Nottingham, 128.243.0.0/16 ,,,,,,,,,,
University of Oxford, 129.67.0.0/16, 192.76.6.0/23, 192.76.8.0/21, 192.76.32.0/22,,,,,,,
University of Plymouth, 141.163.0.0/16,,,,,,,,,,
University of Portsmouth, 148.197.0.0/16,,,,,,,,,,
University of Reading, 134.225.0.0/16, 192.100.154.0/24, 192.133.244.0/24,,,,,,,,
University of Salford, 146.87.0.0/16,,,,,,,,,,
University of Sheffield, 143.167.0.0/16 ,,,,,,,,,,
University of Southampton, 152.78.0.0/16,,,,,,,,,,
University of Stirling, 139.153.0.0/16,,,,,,,,,,
University of Strathclyde, 130.159.0.0/16,,,,,,,,,,
University of Sunderland, 157.228.0.0/16,,,,,,,,,,
University of Surrey, 131.227.0.0/16,,,,,,,,,,
University of Sussex, 139.184.0.0/16,,,,,,,,,,
University of Teesside, 152.105.0.0/16,,,,,,,,,,
University of the Highlands and Islands, 194.35.192.0/19,,,,,,,,,,
University of the West of England - Bristol, 164.11.0.0/16, 192.35.172.0/24,,,,,,,,,
University of The West Of Scotland, 146.191.0.0/16,,,,,,,,,,
University of Ulster, 192.160.194.0/24, 192.188.157.0/24, 192.188.158.0/24, 192.195.42.0/23 ,,,,,,,
University of Westminster, 161.74.0.0/16,,,,,,,,,,
University of Wolverhampton, 134.220.0.0/16,,,,,,,,,,
University of York, 144.32.0.0/16,,,,,,,,,,
